city,industry,category,share_pct,avg_salary,demand_index,growth_pct,education,skills
内江,再生资源利用,新材料与环保,15.8,11700,59.6,2.0,硕士及以上,材料表征|检测认证|实验室管理|碳中和核算
内江,食品加工与饮料制造,农业食品,13.4,8500,44.9,1.8,大专及以上,食品工艺|农业技术推广|食品安全法规|品牌营销
北京,云计算与大数据服务,信息技术,9.6,31200,82.3,7.7,本科及以上,Python|Java|数据分析|云计算
北京,化学药与生物药制造,生物医药,9.5,22500,84.2,6.7,硕士及以上,GMP规范|临床研究|实验室操作|注册法规
北京,公务员与事业编,公共服务,8.7,19700,48.4,3.3,本科及以上,公文写作|教育教学法|心理咨询|社区服务
北京,影视与短视频内容,文化传媒,7.5,16900,46.1,2.3,本科及以上,内容策划|短视频剪辑|文案写作|视觉设计
北京,会计审计与咨询,金融商务,6.5,26800,73.6,3.5,本科及以上,财务分析|风险控制|投资研究|商务谈判
北京,留学与国际教育,教育培训,5.6,18500,51.4,0.4,本科及以上,教学设计|演讲表达|教育心理学|教材编写
北海,食品加工与饮料制造,农业食品,20.2,7500,46.4,0.3,大专及以上,农业技术推广|食品安全法规|供应链管理|品牌营销
北海,酒店与民宿服务,文化旅游,14.3,7100,62.0,1.8,大专及以上,旅游产品设计|酒店运营|目的地营销|活动策划
北海,航空物流与快递,现代物流,14.3,8200,67.8,0.8,大专及以上,供应链管理|仓储运营|WMS系统|关务合规
南京,工业机器人与自动化,高端装备制造,13.6,13500,57.1,5.9,大专及以上,机械设计|CAD/CAM|精益生产|数控编程
南京,职业与技能培训,教育培训,12.6,12100,46.7,-0.4,本科及以上,课程研发|演讲表达|教育心理学|学生管理
南京,光电显示器件制造,半导体电子,11.7,21200,84.1,5.1,本科及以上,微电子|电路设计|版图设计|测试验证
南京,互联网平台运营,信息技术,10.4,22500,80.2,6.9,本科及以上,Python|机器学习|云计算|系统架构
南京,医药研发外包(CRO),生物医药,7.6,14900,72.5,6.5,硕士及以上,分子生物学|临床研究|实验室操作|注册法规
南充,通用设备制造,高端装备制造,17.2,11600,75.2,3.5,大专及以上,CAD/CAM|PLC控制|数控编程|设备调试
南充,专业市场与展会服务,商贸零售,15.0,8000,65.6,0.1,大专及以上,用户增长|直播营销|商品采购|客户关系管理
南充,食品加工与饮料制造,农业食品,14.6,8100,59.2,3.7,大专及以上,食品工艺|农业技术推广|供应链管理|品牌营销
南宁,食品加工与饮料制造,农业食品,22.3,8400,65.6,2.9,大专及以上,质量检测|农业技术推广|食品安全法规|品牌营销
南宁,仓储与供应链管理,现代物流,22.3,8600,78.9,0.9,大专及以上,仓储运营|国际货代|路径优化|关务合规
南宁,跨境贸易与出海,商贸零售,16.5,7200,69.6,4.4,大专及以上,用户增长|直播营销|商品采购|客户关系管理
南平,白酒与酿造,农业食品,17.7,7600,66.2,0.1,大专及以上,食品工艺|农业技术推广|食品安全法规|品牌营销
南平,节能环保工程,新材料与环保,15.1,10300,58.3,1.5,硕士及以上,环境工程|工艺优化|实验室管理|碳中和核算
南平,旅行社与旅游产品,文化旅游,9.9,6600,63.2,3.8,大专及以上,旅游产品设计|酒店运营|客户服务|外语能力
南昌,新能源汽车整车制造,汽车与新能源,15.4,12900,86.4,5.6,本科及以上,三电系统|嵌入式开发|电池技术|CAN总线
南昌,人工智能与算法服务,信息技术,14.7,15200,76.7,4.0,本科及以上,Python|数据分析|云计算|系统架构
南昌,医疗器械制造,生物医药,13.3,10800,60.7,3.8,硕士及以上,药学|GMP规范|临床研究|实验室操作
南昌,光电显示器件制造,半导体电子,8.5,16800,89.4,9.4,本科及以上,微电子|半导体工艺|版图设计|测试验证
南通,房屋建筑与市政工程,建筑地产,20.9,10800,46.7,-1.8,大专及以上,BIM建模|工程造价|施工管理|项目管理
南通,港口航运与货代,现代物流,19.8,8100,62.9,4.8,大专及以上,供应链管理|仓储运营|国际货代|关务合规
南通,轨道交通装备制造,高端装备制造,14.2,10100,76.7,2.1,大专及以上,机械设计|PLC控制|精益生产|数控编程
南阳,轨道交通装备制造,高端装备制造,21.4,9400,75.2,4.2,大专及以上,机械设计|CAD/CAM|PLC控制|设备调试
南阳,医疗器械制造,生物医药,15.9,9300,69.3,4.7,硕士及以上,分子生物学|GMP规范|临床研究|注册法规
南阳,白酒与酿造,农业食品,12.4,5900,55.4,1.3,大专及以上,食品工艺|食品安全法规|供应链管理|品牌营销
厦门,景区与主题公园运营,文化旅游,14.5,14500,49.7,0.7,大专及以上,旅游产品设计|酒店运营|目的地营销|活动策划
厦门,互联网平台运营,信息技术,14.3,28300,83.2,7.4,本科及以上,Java|数据分析|机器学习|云计算
厦门,航空物流与快递,现代物流,13.0,13900,79.5,1.5,大专及以上,供应链管理|路径优化|WMS系统|关务合规
厦门,集成电路设计与制造,半导体电子,11.1,25200,88.5,4.5,本科及以上,电路设计|嵌入式C|版图设计|测试验证
台州,批发零售与商贸流通,商贸零售,18.2,7500,62.4,0.6,大专及以上,电商运营|用户增长|直播营销|商品采购
台州,汽车零部件制造,汽车与新能源,17.8,12900,80.6,3.9,本科及以上,三电系统|电池技术|CAN总线|自动驾驶
台州,通用设备制造,高端装备制造,16.8,9900,60.0,5.1,大专及以上,机械设计|CAD/CAM|精益生产|数控编程
台湾,工业机器人与自动化,高端装备制造,19.9,5900,73.3,3.7,大专及以上,机械设计|CAD/CAM|精益生产|数控编程
台湾,智能终端组装制造,半导体电子,16.9,7900,89.8,4.2,本科及以上,微电子|电路设计|版图设计|测试验证
台湾,软件开发与信息服务,信息技术,15.7,8700,90.2,5.1,本科及以上,数据分析|机器学习|云计算|系统架构
合肥,智能网联汽车,汽车与新能源,15.4,9500,77.0,4.8,本科及以上,三电系统|电池技术|CAN总线|整车标定
合肥,互联网平台运营,信息技术,15.2,11000,86.2,6.0,本科及以上,数据分析|机器学习|云计算|系统架构
合肥,工业机器人与自动化,高端装备制造,14.8,7600,72.9,1.2,大专及以上,CAD/CAM|PLC控制|精益生产|设备调试
合肥,智能终端组装制造,半导体电子,7.0,12300,86.3,4.0,本科及以上,电路设计|半导体工艺|嵌入式C|测试验证
吉安,精密机械加工,高端装备制造,20.3,8900,76.0,2.9,大专及以上,CAD/CAM|PLC控制|数控编程|设备调试
吉安,特色农产品种植加工,农业食品,12.5,5800,48.6,1.9,大专及以上,质量检测|农业技术推广|食品安全法规|品牌营销
吉安,智能终端组装制造,半导体电子,11.5,11900,77.2,5.3,本科及以上,微电子|电路设计|半导体工艺|版图设计
吉林,医疗器械制造,生物医药,19.6,11400,60.2,3.9,硕士及以上,药学|GMP规范|实验室操作|注册法规
吉林,特色农产品种植加工,农业食品,15.2,8800,65.1,2.8,大专及以上,质量检测|农业技术推广|食品安全法规|供应链管理
吉林,工业机器人与自动化,高端装备制造,11.7,12600,67.4,1.3,大专及以上,机械设计|PLC控制|精益生产|设备调试
吉林市,煤化工与焦化,能源化工,15.7,9600,67.3,1.2,大专及以上,化工工艺|DCS控制|安全环保管理|设备维护
吉林市,通用设备制造,高端装备制造,15.3,9400,62.8,2.8,大专及以上,机械设计|PLC控制|精益生产|数控编程
吉林市,畜牧与水产养殖,农业食品,14.0,7500,61.4,1.6,大专及以上,农业技术推广|食品安全法规|供应链管理|品牌营销
吐鲁番,石油化工与炼化,能源化工,18.5,7800,69.4,-1.7,大专及以上,化工工艺|DCS控制|电气自动化|设备维护
吐鲁番,畜牧与水产养殖,农业食品,16.2,6900,56.8,3.9,大专及以上,食品工艺|农业技术推广|供应链管理|品牌营销
吐鲁番,康养与休闲度假,文化旅游,16.2,5900,47.7,-0.8,大专及以上,旅游产品设计|目的地营销|外语能力|活动策划
周口,房地产开发经营,建筑地产,19.3,6600,37.2,-3.3,大专及以上,结构设计|工程造价|施工管理|项目管理
周口,电子商务运营,商贸零售,15.5,5100,71.2,2.7,大专及以上,用户增长|直播营销|商品采购|跨境贸易
周口,特色农产品种植加工,农业食品,11.6,5400,58.8,3.2,大专及以上,质量检测|食品安全法规|供应链管理|品牌营销
呼和浩特,云计算与大数据服务,信息技术,18.8,17900,85.2,2.9,本科及以上,Python|Java|云计算|系统架构
呼和浩特,食品加工与饮料制造,农业食品,16.0,9200,47.7,0.2,大专及以上,质量检测|农业技术推广|食品安全法规|品牌营销
呼和浩特,有色金属冶炼加工,能源化工,12.4,10600,64.6,1.4,大专及以上,DCS控制|电气自动化|冶金工艺|设备维护
呼和浩特,医药研发外包(CRO),生物医药,11.3,12400,79.4,1.7,硕士及以上,GMP规范|临床研究|实验室操作|注册法规
咸宁,特色农产品种植加工,农业食品,18.4,7200,61.5,3.7,大专及以上,食品工艺|农业技术推广|食品安全法规|品牌营销
咸宁,景区与主题公园运营,文化旅游,15.1,6400,46.3,4.2,大专及以上,旅游产品设计|酒店运营|目的地营销|外语能力
咸宁,再生资源利用,新材料与环保,14.4,10500,60.9,5.5,硕士及以上,材料表征|环境工程|工艺优化|实验室管理
咸阳,集成电路设计与制造,半导体电子,23.0,16400,83.9,4.8,本科及以上,微电子|半导体工艺|版图设计|测试验证
咸阳,轨道交通装备制造,高端装备制造,16.7,10600,65.1,4.0,大专及以上,机械设计|CAD/CAM|精益生产|设备调试
咸阳,食品加工与饮料制造,农业食品,12.0,7100,60.9,2.9,大专及以上,食品工艺|质量检测|供应链管理|品牌营销
哈密,畜牧与水产养殖,农业食品,24.4,7600,56.8,0.4,大专及以上,质量检测|食品安全法规|供应链管理|品牌营销
哈密,有色金属冶炼加工,能源化工,15.3,10000,45.1,2.4,大专及以上,电气自动化|安全环保管理|冶金工艺|设备维护
哈密,航空物流与快递,现代物流,11.3,8300,79.4,3.0,大专及以上,仓储运营|国际货代|路径优化|WMS系统
哈尔滨,化学药与生物药制造,生物医药,12.5,10300,74.8,5.8,硕士及以上,GMP规范|临床研究|实验室操作|注册法规
哈尔滨,旅行社与旅游产品,文化旅游,12.2,6600,59.6,-0.5,大专及以上,旅游产品设计|客户服务|外语能力|活动策划
哈尔滨,白酒与酿造,农业食品,11.4,6600,51.2,3.1,大专及以上,质量检测|农业技术推广|供应链管理|品牌营销
哈尔滨,工业机器人与自动化,高端装备制造,7.7,9400,72.7,3.9,大专及以上,机械设计|CAD/CAM|精益生产|设备调试
唐山,工程造价与咨询,建筑地产,23.5,10300,46.0,-0.9,大专及以上,结构设计|BIM建模|工程造价|招投标
唐山,石油化工与炼化,能源化工,19.6,10000,67.6,0.9,大专及以上,化工工艺|电气自动化|安全环保管理|冶金工艺
唐山,精密机械加工,高端装备制造,17.3,9900,76.0,0.6,大专及以上,机械设计|PLC控制|精益生产|数控编程
商丘,仓储与供应链管理,现代物流,20.3,7500,79.3,5.3,大专及以上,供应链管理|国际货代|WMS系统|关务合规
商丘,特色农产品种植加工,农业食品,18.9,7400,49.7,2.4,大专及以上,食品工艺|食品安全法规|供应链管理|品牌营销
商丘,批发零售与商贸流通,商贸零售,18.5,7700,73.0,2.1,大专及以上,电商运营|用户增长|直播营销|跨境贸易
嘉兴,电子商务运营,商贸零售,19.2,7400,62.9,1.7,大专及以上,电商运营|用户增长|商品采购|跨境贸易
嘉兴,节能环保工程,新材料与环保,17.8,10300,64.3,2.9,硕士及以上,材料表征|检测认证|实验室管理|碳中和核算
嘉兴,通用设备制造,高端装备制造,13.4,10000,79.8,3.9,大专及以上,机械设计|CAD/CAM|数控编程|设备调试
四平,通用设备制造,高端装备制造,20.2,8400,74.2,5.9,大专及以上,机械设计|PLC控制|精益生产|数控编程
四平,特色农产品种植加工,农业食品,18.9,6300,52.6,1.9,大专及以上,质量检测|农业技术推广|供应链管理|品牌营销
四平,仓储与供应链管理,现代物流,13.3,7600,80.2,1.1,大专及以上,供应链管理|仓储运营|WMS系统|关务合规
大同,新材料研发制造,新材料与环保,19.3,10800,53.8,2.2,硕士及以上,环境工程|检测认证|实验室管理|碳中和核算
大同,石油化工与炼化,能源化工,15.0,9200,51.9,2.7,大专及以上,电气自动化|安全环保管理|冶金工艺|设备维护
大同,景区与主题公园运营,文化旅游,14.9,6500,57.0,0.5,大专及以上,酒店运营|目的地营销|外语能力|活动策划
大庆,新材料研发制造,新材料与环保,23.9,9300,64.5,4.5,硕士及以上,材料表征|环境工程|工艺优化|碳中和核算
大庆,有色金属冶炼加工,能源化工,19.3,8100,53.8,-0.1,大专及以上,化工工艺|电气自动化|安全环保管理|设备维护
大庆,精密机械加工,高端装备制造,16.4,7900,60.1,2.8,大专及以上,机械设计|CAD/CAM|PLC控制|数控编程
大理,康养与休闲度假,文化旅游,16.4,7900,48.4,2.2,大专及以上,酒店运营|客户服务|目的地营销|外语能力
大理,电子商务运营,商贸零售,13.7,7500,52.0,0.8,大专及以上,用户增长|直播营销|商品采购|跨境贸易
大理,石油化工与炼化,能源化工,12.3,9400,58.3,0.4,大专及以上,化工工艺|电气自动化|冶金工艺|设备维护
大连,港口航运与货代,现代物流,14.3,7000,68.5,3.3,大专及以上,供应链管理|国际货代|路径优化|关务合规
大连,旅行社与旅游产品,文化旅游,13.4,6300,63.0,2.6,大专及以上,旅游产品设计|客户服务|目的地营销|外语能力
大连,工业机器人与自动化,高端装备制造,11.2,8700,79.5,1.7,大专及以上,机械设计|PLC控制|数控编程|设备调试
大连,人工智能与算法服务,信息技术,8.7,14800,83.5,8.1,本科及以上,Python|数据分析|机器学习|系统架构
天水,通用设备制造,高端装备制造,16.9,10600,60.1,5.0,大专及以上,CAD/CAM|PLC控制|数控编程|设备调试
天水,光电显示器件制造,半导体电子,15.1,16300,89.2,5.7,本科及以上,微电子|电路设计|嵌入式C|测试验证
天水,畜牧与水产养殖,农业食品,13.1,8100,51.4,1.8,大专及以上,食品工艺|质量检测|食品安全法规|品牌营销
天津,煤化工与焦化,能源化工,15.4,8100,57.2,0.7,大专及以上,DCS控制|安全环保管理|冶金工艺|设备维护
天津,工业机器人与自动化,高端装备制造,13.4,7800,71.7,3.5,大专及以上,机械设计|PLC控制|数控编程|设备调试
天津,港口航运与货代,现代物流,13.0,7300,58.7,3.1,大专及以上,供应链管理|仓储运营|路径优化|WMS系统
天津,软件开发与信息服务,信息技术,12.9,13500,72.8,4.6,本科及以上,Python|机器学习|云计算|系统架构
太原,云计算与大数据服务,信息技术,16.0,13600,83.1,3.9,本科及以上,数据分析|机器学习|云计算|系统架构
太原,轨道交通装备制造,高端装备制造,12.5,8900,57.7,1.5,大专及以上,CAD/CAM|PLC控制|精益生产|设备调试
太原,电力与热力生产,能源化工,10.2,8400,65.7,1.1,大专及以上,化工工艺|电气自动化|冶金工艺|设备维护
太原,再生资源利用,新材料与环保,9.1,9500,77.9,3.8,硕士及以上,材料表征|环境工程|工艺优化|碳中和核算
威海,工业机器人与自动化,高端装备制造,18.8,8300,57.2,4.5,大专及以上,机械设计|CAD/CAM|PLC控制|精益生产
威海,航空物流与快递,现代物流,15.4,7900,63.8,3.7,大专及以上,供应链管理|国际货代|路径优化|关务合规
威海,酒店与民宿服务,文化旅游,10.8,7100,61.9,2.0,大专及以上,旅游产品设计|客户服务|目的地营销|外语能力
娄底,工业机器人与自动化,高端装备制造,18.0,10000,73.6,3.2,大专及以上,CAD/CAM|PLC控制|精益生产|设备调试
娄底,有色金属冶炼加工,能源化工,14.4,9600,48.6,-1.8,大专及以上,化工工艺|DCS控制|电气自动化|设备维护
娄底,节能环保工程,新材料与环保,13.1,10100,68.0,6.5,硕士及以上,环境工程|检测认证|工艺优化|碳中和核算
孝感,食品加工与饮料制造,农业食品,21.1,9200,57.2,1.1,大专及以上,食品工艺|食品安全法规|供应链管理|品牌营销
孝感,通用设备制造,高端装备制造,18.9,11700,72.8,1.3,大专及以上,机械设计|CAD/CAM|精益生产|设备调试
孝感,冷链物流,现代物流,12.8,9200,73.1,3.9,大专及以上,供应链管理|仓储运营|国际货代|路径优化
宁德,汽车零部件制造,汽车与新能源,16.0,10100,74.4,2.5,本科及以上,三电系统|嵌入式开发|电池技术|CAN总线
宁德,畜牧与水产养殖,农业食品,15.6,6200,50.7,0.9,大专及以上,质量检测|农业技术推广|供应链管理|品牌营销
宁德,再生资源利用,新材料与环保,15.1,9700,75.6,3.1,硕士及以上,环境工程|检测认证|实验室管理|碳中和核算
宁波,批发零售与商贸流通,商贸零售,15.8,9300,57.4,4.2,大专及以上,用户增长|商品采购|客户关系管理|跨境贸易
宁波,轨道交通装备制造,高端装备制造,14.1,12100,68.8,1.4,大专及以上,机械设计|CAD/CAM|数控编程|设备调试
宁波,有色金属冶炼加工,能源化工,14.1,12900,53.0,-0.4,大专及以上,化工工艺|DCS控制|安全环保管理|设备维护
宁波,冷链物流,现代物流,13.5,11000,60.2,4.5,大专及以上,供应链管理|仓储运营|WMS系统|关务合规
安庆,工业机器人与自动化,高端装备制造,24.3,11500,78.6,0.5,大专及以上,CAD/CAM|PLC控制|数控编程|设备调试
安庆,有色金属冶炼加工,能源化工,15.7,9800,45.7,0.0,大专及以上,DCS控制|安全环保管理|冶金工艺|设备维护
安庆,特色农产品种植加工,农业食品,12.2,7600,45.2,2.6,大专及以上,质量检测|农业技术推广|食品安全法规|供应链管理
安康,白酒与酿造,农业食品,28.4,5800,57.5,4.0,大专及以上,食品工艺|质量检测|农业技术推广|食品安全法规
安康,医药研发外包(CRO),生物医药,18.0,8200,72.5,4.7,硕士及以上,药学|分子生物学|实验室操作|注册法规
安康,再生资源利用,新材料与环保,14.6,8300,60.1,1.6,硕士及以上,材料表征|环境工程|实验室管理|碳中和核算
